type,issue_number,author,author_type,created_at,state,title,text,clean_text
issue_body,11104,jieLi086,User,2026-07-27T11:48:54Z,open,"Incorrect Content-Length set when FormData contains a custom Readable stream (not a file stream, no httpVersion)","When sending a FormData body that includes a custom Node.js Readable stream (a stream that does not have a path property and is not an http.IncomingMessage), axios incorrectly sets a very small Content-Length header (only the multipart boundary overhead) instead of using Transfer-Encoding: chunked. This causes the request body to be truncated and the server to receive incomplete data.

To Reproduce
js
const axios = require('axios');
const FormData = require('form-data');
const { Readable } = require('stream');

// Create a custom readable stream (no path, no httpVersion)
const stream = Readable.from(Buffer.alloc(1024 * 1024)); // 1MB of data
const form = new FormData();
form.append('file', stream, { filename: 'test.bin' });

axios.post('http://httpbin.org/post', form, {
  headers: form.getHeaders(),
}).then(res => console.log(res.data)).catch(console.error);
Observed behavior:
The request is sent with Content-Length: ~271 (the multipart overhead) instead of Transfer-Encoding: chunked. The server only receives the first 271 bytes; the rest of the stream data is lost or the connection hangs.

Expected behavior:
Since the stream length cannot be determined, axios should not set a Content-Length header and should fall back to chunked transfer encoding, as it did in older versions (e.g., 1.1.3).

Axios Version
1.7.x (tested up to 1.19) – regression introduced after 1.1.3.

Additional context
The root cause is in the getLength / _trackLength logic. When a value is a Readable stream, it is considered measurable only if it has a path property (file stream) or is an HTTP response (value.readable && value.hasOwnProperty('httpVersion')). For any other stream, _trackLength sets valueLength to 0 and does not add it to _valuesToMeasure. Later, if _valuesToMeasure is empty, getLength immediately returns _overheadLength + _valueLength, which is just the boundary overhead. Axios then treats this as a valid, known length and sets Content-Length.

This is a regression compared to axios 1.1.3, where no Content-Length was proactively calculated for FormData with streams, so the underlying HTTP layer correctly used chunked encoding.

A possible fix would be: if any stream is encountered that cannot be measured, getLength should return null (or an error) to signal that the total length is unknown, forcing axios to send the request without Content-Length.","When sending a FormData body that includes a custom Node.js Readable stream (a stream that does not have a path property and is not an axios incorrectly sets a very small Content-Length header (only the multipart boundary overhead) instead of using Transfer-Encoding: chunked. This causes the request body to be truncated and the server to receive incomplete data. To Reproduce js const axios = require('axios'); const FormData = require('form-data'); const { Readable } = require('stream'); // Create a custom readable stream (no path, no const stream = Readable.from(Buffer.alloc(1024 1024)); // 1MB of data const form = new FormData(); form.append('file', stream, { filename: 'test.bin' }); axios.post(' form, { headers: form.getHeaders(), }).then(res = console.log(res.data)).catch(console.error); Observed behavior: The request is sent with Content-Length: 271 (the multipart overhead) instead of Transfer-Encoding: chunked. The server only receives the first 271 bytes; the rest of the stream data is lost or the connection hangs. Expected behavior: Since the stream length cannot be determined, axios should not set a Content-Length header and should fall back to chunked transfer encoding, as it did in older versions (e.g., 1.1.3). Axios Version 1.7.x (tested up to 1.19) – regression introduced after 1.1.3. Additional context The root cause is in the getLength / trackLength logic. When a value is a Readable stream, it is considered measurable only if it has a path property (file stream) or is an HTTP response (value.readable && value.hasOwnProperty(' For any other stream, trackLength sets valueLength to 0 and does not add it to valuesToMeasure. Later, if valuesToMeasure is empty, getLength immediately returns overheadLength + valueLength, which is just the boundary overhead. Axios then treats this as a valid, known length and sets Content-Length. This is a regression compared to axios 1.1.3, where no Content-Length was proactively calculated for FormData with streams, so the underlying HTTP layer correctly used chunked encoding. A possible fix would be: if any stream is encountered that cannot be measured, getLength should return null (or an error) to signal that the total length is unknown, forcing axios to send the request without Content-Length."
issue_body,11093,ari-token-security,User,2026-07-22T08:04:17Z,open,"XHR adapter resolves navigation-canceled requests as success on Firefox 152+ (status 0, empty body)","## Describe the issue

axios contradicts itself about what `status === 0` means, and Firefox 152 made the disagreement reachable.

The XHR adapter has the rule right, and scopes the `file:` exception properly:

```js
// lib/adapters/xhr.js, the onreadystatechange fallback
// The request errored out and we didn't get a response, this will be
// handled by onerror instead
// With one exception: request that using file: protocol, most browsers
// will return status as 0 even though it's a successful request
if (request.status === 0 && !(request.responseURL && request.responseURL.startsWith('file:'))) {
  return;
}
```

`settle()` does not scope it at all. It resolves any status-0 response as a success, on any scheme:

```js
// lib/core/settle.js
if (!response.status || !validateStatus || validateStatus(response.status)) {
  resolve(response);
}
```

The catch is where that adapter guard lives. It sits in the `onreadystatechange` fallback, which only runs when `'onloadend' in request` is false, and that is never the case in a current browser. Every evergreen browser takes the `onloadend` path instead, which has no equivalent check, so the unscoped version in `settle()` is the one that actually runs.

For about six years this did not matter, because browsers always fired `error` or `abort` before `loadend` on a failed or canceled XHR. `onabort`/`onerror` would reject and set `request = null`, and `onloadend` would bail on `if (!request) return` before `settle()` ever ran.

Firefox 152 changed that. [Bugzilla 1505389](https://bugzilla.mozilla.org/show_bug.cgi?id=1505389) made navigation-canceled XHRs fire only `readystatechange` and `loadend`, with no `abort` and no `error`. The patch says it outright:

> Don't make navigation block XHR and call onerror/abort
>
> Fires readystatechange and loadend intead of abort

It is intentional and it has been upstreamed. Mozilla landed a conformance test in web-platform-tests ([wpt#59603](https://github.com/web-platform-tests/wpt/pull/59603), `xhr/abort-during-navigation.window.js`) asserting that `error`, `abort` and `load` must not fire. Chrome already fires nothing and passes it. Safari still fires `abort` and would fail it. So this looks like where the platform is heading rather than a Firefox quirk that will get reverted.

Note also that `!response.status` is evaluated before `validateStatus`, so this cannot be worked around with config.

## Example code

Any request that is in flight when the user navigates away, on Firefox 152 or later:

```js
// Page navigates (link click, location assignment, reload) while this is pending.
const { data } = await axios.get('/api/things');
// Firefox <= 151: rejects with ECONNABORTED, because the adapter saw an abort event.
// Firefox >= 152: RESOLVES, with status 0 and data === ''.
// Anything parsing or validating `data` then fails on an empty string.
```

Reproducible without a browser, by driving the real xhr adapter with a stub `XMLHttpRequest`. The only difference between the two runs is whether `error` fires:

```js
let SEQUENCE = [];
globalThis.XMLHttpRequest = class {
  constructor() {
    this.readyState = 0; this.status = 0; this.statusText = '';
    this.responseText = ''; this.response = ''; this.timeout = 0;
    this.onloadend = this.onabort = this.onerror = this.ontimeout = this.onreadystatechange = null;
  }
  open() {} setRequestHeader() {} abort() {} getAllResponseHeaders() { return ''; }
  send() {
    setImmediate(() => {
      this.readyState = 4;
      for (const ev of SEQUENCE) this[`on${ev}`]?.call(this, { type: ev });
    });
  }
};
const { default: axios } = await import('axios');

for (const [label, seq] of [
  ['error precedes loadend (every browser before FF152)', ['readystatechange', 'error', 'loadend']],
  ['loadend only        (Firefox >= 152 nav-cancel)     ', ['readystatechange', 'loadend']],
]) {
  SEQUENCE = seq;
  const out = await axios.get('https://example.com/x', { adapter: 'xhr' })
    .then((r) => `RESOLVED status=${r.status} data=${JSON.stringify(r.data)}`)
    .catch((e) => `rejected  ${e.code}`);
  console.log(label, '->', out);
}
```

Output on axios 1.18.1:

```
error precedes loadend (every browser before FF152) -> rejected  ERR_NETWORK
loadend only        (Firefox >= 152 nav-cancel)     -> RESOLVED status=0 data=""""
```

Confirmed in a real Firefox 153.0 as well, using the same iframe technique as Mozilla's WPT test. An in-flight XHR is canceled by a document navigation and the surviving parent records the events plus axios's outcome:

```json
{""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:153.0) Gecko/20100101 Firefox/153.0"",
 ""events"":[""loadend(st=0)""],
 ""firedAbort"":false, ""firedError"":false, ""firedLoad"":false,
 ""axios"":{""outcome"":""RESOLVED"",""status"":0,""dataType"":""string"",""data"":""\""\""""}}
```

## Expected behavior

A request that never received a response should reject, as it did on Firefox 151 and as it still does in every other engine. Reads over `file:`, which some environments report as status 0 on success, should keep resolving.

## Actual behavior

It resolves as a success carrying `status: 0` and `data: ''`. No error is thrown, so the failure surfaces later as a parsing or validation error on an empty string, far from its cause.

## Environment

- Axios version: 1.18.1 (behavior present since 0.19.1, when #2470 landed)
- Adapter: xhr
- Runtime: Firefox 152 and later, verified on Firefox Developer Edition 153.0. Chrome and Safari are unaffected today, though Safari changes if it adopts wpt#59603
- OS: macOS 15
- Additional context: browser build, default adapter, no custom `validateStatus`

:surfer: Investigated and written with AI assistance, reviewed before posting.
","Describe the issue axios contradicts itself about what means, and Firefox 152 made the disagreement reachable. The XHR adapter has the rule right, and scopes the exception properly: does not scope it at all. It resolves any status-0 response as a success, on any scheme: The catch is where that adapter guard lives. It sits in the fallback, which only runs when is false, and that is never the case in a current browser. Every evergreen browser takes the path instead, which has no equivalent check, so the unscoped version in is the one that actually runs. For about six years this did not matter, because browsers always fired or before on a failed or canceled XHR. / would reject and set , and would bail on before ever ran. Firefox 152 changed that. [Bugzilla 1505389]( made navigation-canceled XHRs fire only and , with no and no . The patch says it outright: Don't make navigation block XHR and call onerror/abort Fires readystatechange and loadend intead of abort It is intentional and it has been upstreamed. Mozilla landed a conformance test in web-platform-tests ([wpt 59603]( ) asserting that , and must not fire. Chrome already fires nothing and passes it. Safari still fires and would fail it. So this looks like where the platform is heading rather than a Firefox quirk that will get reverted. Note also that is evaluated before , so this cannot be worked around with config. Example code Any request that is in flight when the user navigates away, on Firefox 152 or later: Reproducible without a browser, by driving the real xhr adapter with a stub . The only difference between the two runs is whether fires: Output on axios 1.18.1: Confirmed in a real Firefox 153.0 as well, using the same iframe technique as Mozilla's WPT test. An in-flight XHR is canceled by a document navigation and the surviving parent records the events plus axios's outcome: Expected behavior A request that never received a response should reject, as it did on Firefox 151 and as it still does in every other engine. Reads over , which some environments report as status 0 on success, should keep resolving. Actual behavior It resolves as a success carrying and . No error is thrown, so the failure surfaces later as a parsing or validation error on an empty string, far from its cause. Environment - Axios version: 1.18.1 (behavior present since 0.19.1, when 2470 landed) - Adapter: xhr - Runtime: Firefox 152 and later, verified on Firefox Developer Edition 153.0. Chrome and Safari are unaffected today, though Safari changes if it adopts wpt 59603 - OS: macOS 15 - Additional context: browser build, default adapter, no custom :surfer: Investigated and written with AI assistance, reviewed before posting."
issue_body,11070,eeshsaxena,User,2026-07-08T19:44:45Z,open,InterceptorManager sparse array growth,"### Describe the bug

`InterceptorManager` stores interceptors in a plain array (`this.handlers`). When `eject(id)` is called, it sets the slot to `null` rather than removing it:

In applications that frequently add and remove interceptors (e.g., per-request auth interceptors, retry logic), this causes unbounded growth of the `handlers` array with `null` entries. Every request dispatch must filter these out.

### Steps to reproduce

const instance = axios.create();

for (let i = 0; i < 10_000; i++) {
  const id = instance.interceptors.request.use((cfg) => cfg);
  instance.interceptors.request.eject(id);
}

// handlers array now has 10,000 null slots
console.log(instance.interceptors.request.handlers.length); // 10000

### Expected behavior

The `handlers` array should not grow unboundedly. Ejected interceptors should not leave behind `null` tombstones that accumulate over the lifetime of an axios instance.

### Suggested fix

Replace the Array with a Map keyed by an incrementing integer ID:

constructor() {
  this.handlers = new Map();
  this._idCounter = 0;
}

use(fulfilled, rejected, options) {
  const id = this._idCounter++;
  this.handlers.set(id, {
    fulfilled,
    rejected,
    synchronous: options?.synchronous ?? false,
    runWhen: options?.runWhen ?? null,
  });
  return id;
}

eject(id) {
  this.handlers.delete(id);
}

This is a non-breaking change — the returned ID is still a number and eject(id) still works the same way from the caller's perspective.

### Environment

- axios version: v1.x (latest)
- Affected file: lib/core/InterceptorManager.js","Describe the bug stores interceptors in a plain array ( ). When is called, it sets the slot to rather than removing it: In applications that frequently add and remove interceptors (e.g., per-request auth interceptors, retry logic), this causes unbounded growth of the array with entries. Every request dispatch must filter these out. Steps to reproduce const instance = axios.create(); for (let i = 0; i < 10 000; i++) { const id = instance.interceptors.request.use((cfg) = cfg); instance.interceptors.request.eject(id); } // handlers array now has 10,000 null slots console.log(instance.interceptors.request.handlers.length); // 10000 Expected behavior The array should not grow unboundedly. Ejected interceptors should not leave behind tombstones that accumulate over the lifetime of an axios instance. Suggested fix Replace the Array with a Map keyed by an incrementing integer ID: constructor() { this.handlers = new Map(); this. idCounter = 0; } use(fulfilled, rejected, options) { const id = this. idCounter++; this.handlers.set(id, { fulfilled, rejected, synchronous: options?.synchronous ?? false, runWhen: options?.runWhen ?? null, }); return id; } eject(id) { this.handlers.delete(id); } This is a non-breaking change — the returned ID is still a number and eject(id) still works the same way from the caller's perspective. Environment - axios version: v1.x (latest) - Affected file: lib/core/InterceptorManager.js"
issue_body,11066,akahoshi1421,User,2026-07-05T16:08:19Z,open,proposal: align 413 naming with RFC 9110 (PayloadTooLarge → ContentTooLarge),"## Describe the issue

RFC 9110 renamed HTTP status 413 from
""Payload Too Large"" to ""Content Too Large"". In axios, HttpStatusCode
enum(`index.d.cts`, `index.d.ts`) and `lib/helpers/HttpStatusCode.js` still uses it as `PayloadTooLarge`:

- https://github.com/axios/axios/blob/v1.x/index.d.ts#L212
- https://github.com/axios/axios/blob/v1.x/index.d.cts#L277
- https://github.com/axios/axios/blob/v1.x/lib/helpers/HttpStatusCode.js#L38

I'd like to align enum and `lib/helpers/HttpStatusCode.js` with the RFC 9110, but it is a breaking change, so I'd like to agree on the approach before opening a PR.

Options:
1. **Breaking rename**: replace `PayloadTooLarge` with `ContentTooLarge`.
   Cleanest, but it is a breaking change.
2. **Add alias**:  keep `PayloadTooLarge` and add `ContentTooLarge` (both 413).
   Not breaking change, but probably there is no precedent.
3. **Leave it as is.**

Which direction do you think is better?","Describe the issue RFC 9110 renamed HTTP status 413 from ""Payload Too Large"" to ""Content Too Large"". In axios, HttpStatusCode enum( , ) and still uses it as : - - - I'd like to align enum and with the RFC 9110, but it is a breaking change, so I'd like to agree on the approach before opening a PR. Options: 1. Breaking rename : replace with . Cleanest, but it is a breaking change. 2. Add alias : keep and add (both 413). Not breaking change, but probably there is no precedent. 3. Leave it as is. Which direction do you think is better?"
issue_body,11052,webcarrot,User,2026-06-30T06:39:02Z,closed,Do not include references to unpublished source map files,"Due to changes in https://github.com/axios/axios/pull/10939 axios package no longer include some of the source files maps.

At the same time, remains such as:

```js
//# sourceMappingURL=axios.cjs.map
```

survived and affects tools like [webpack](https://webpack.js.org/configuration/module/#ruleextractsourcemap) for example:

```
WARNING in ../../node_modules/axios/dist/browser/axios.cjs
Module Warning: Failed to parse source map. ENOENT: no such file or directory, open '/xxx/node_modules/axios/dist/browser/axios.cjs.map'
```

# Solution:

1. Remove `-m` from `package.json` build script:
```json
  ""scripts"": {
    ""build"": ""gulp clear && cross-env NODE_ENV=production rollup -c""
```
2. Add `sourcemap: minified` in `rollup.config.js`:
```js
// ✂️
  const build = ({ minified }) => ({
    input: namedInput,
    ...config,
    output: {
      ...config.output,
      file: `${path.dirname(file)}/${basename}.${(minified ? ['min', ...extArr] : extArr).join('.')}`,
      sourcemap: minified // here
    }
// ✂️
```","Due to changes in axios package no longer include some of the source files maps. At the same time, remains such as: survived and affects tools like [webpack]( for example: Solution: 1. Remove from build script: 2. Add in :"
issue_body,11050,JSap0914,User,2026-06-30T04:08:33Z,closed,bug(AxiosHeaders): parseTokens returns quoted-string values with surrounding DQUOTE characters (RFC 9110 §5.6.4 violation),"## Bug Description

`AxiosHeaders.get(name, true)` internally calls `parseTokens` to split a structured header value into its token/parameter pairs. When a parameter value is a **quoted-string** (wrapped in `""""`) as permitted by RFC 9110 §5.6.4, the double-quote delimiters are incorrectly included in the returned value.

## Reproduction

```js
import axios from 'axios';

// Simulate a response with a quoted boundary parameter (common in multipart responses)
const headers = new axios.AxiosHeaders();
headers.set('content-type', 'multipart/form-data; boundary=""----=_Part_123""');

const tokens = headers.get('content-type', true);
console.log(tokens.boundary);
// Actual:   '----=_Part_123'   ← includes the surrounding DQUOTE characters
// Expected: '----=_Part_123'     ← DQUOTE delimiters must be stripped per RFC 9110
```

## Related second issue

The regex `[^,;]+` used in `parseTokens` also captures trailing whitespace before a delimiter. So `charset=utf-8   ;` yields `'utf-8   '` instead of `'utf-8'`.

## Root Cause

In `lib/core/AxiosHeaders.js`, the `parseTokens` function assigns `match[2]` (the raw captured token value) directly to `tokens[match[1]]` without:
1. Stripping surrounding double-quotes (required by RFC 9110 §5.6.4)
2. Trimming trailing whitespace

## Impact

Any code that uses `headers.get('content-type', true)` and checks `tokens.boundary` will receive the value with quotes, causing string comparison failures. This affects multipart form data processing where the `Content-Type` boundary is frequently quoted by browsers and servers.

## Expected Behavior

Per [RFC 9110 §5.6.4](https://www.rfc-editor.org/rfc/rfc9110#section-5.6.4):
> A quoted-string is a sequence of zero or more characters enclosed within double-quotes. The initial and final DQUOTE characters are not part of the value.
","Bug Description internally calls to split a structured header value into its token/parameter pairs. When a parameter value is a quoted-string (wrapped in ) as permitted by RFC 9110 §5.6.4, the double-quote delimiters are incorrectly included in the returned value. Reproduction Related second issue The regex used in also captures trailing whitespace before a delimiter. So yields instead of . Root Cause In , the function assigns (the raw captured token value) directly to without: 1. Stripping surrounding double-quotes (required by RFC 9110 §5.6.4) 2. Trimming trailing whitespace Impact Any code that uses and checks will receive the value with quotes, causing string comparison failures. This affects multipart form data processing where the boundary is frequently quoted by browsers and servers. Expected Behavior Per [RFC 9110 §5.6.4]( A quoted-string is a sequence of zero or more characters enclosed within double-quotes. The initial and final DQUOTE characters are not part of the value."
issue_body,11049,demonicdior-kiins,User,2026-06-30T02:01:25Z,closed,Security: form-data dependency vulnerable to CRLF Injection (CVE / npm advisory #1120743),"## 🔒 Security Vulnerability Report

### Summary

`axios` has a transitive dependency on `form-data`, which contains a **high severity security vulnerability** related to **CRLF Injection** via unescaped multipart field names and filenames.

---

### Vulnerability Details

| Field         | Detail                                                                 |
|---------------|------------------------------------------------------------------------|
| **Severity**  | High                                                                   |
| **Package**   | `form-data`                                                            |
| **Issue**     | CRLF injection via unescaped multipart field names and filenames       |
| **Patched in**| `form-data >= 4.0.6`                                                   |
| **Dependency**| `axios > form-data`                                                    |
| **Advisory**  | https://www.npmjs.com/advisories/1120743                               |

---

### Reproduction

Running `npm audit` or `yarn audit` in a project using `axios@^1.x` produces the following:

```
high       │ form-data: CRLF injection in form-data via unescaped
           │ multipart field names and filenames
Package    │ form-data
Patched in │ >=4.0.6
Dependency │ axios > form-data
Path       │ axios > form-data
More info  │ https://www.npmjs.com/advisories/1120743
```

---

### Expected Behavior

`axios` should update its dependency on `form-data` to **`>= 4.0.6`** so that consumers are not exposed to this vulnerability by default.

---

### Current Behavior

`axios@1.x` currently depends on a version of `form-data` **below `4.0.6`**, which is flagged as vulnerable by `npm audit` / `yarn audit`.

---

### Suggested Fix

Please upgrade the `form-data` dependency in `axios` to `>= 4.0.6`:

```json
// package.json (axios)
""dependencies"": {
  ""form-data"": ""^4.0.6""
}
```

Or, if a major version bump is a concern, consider pinning via `overrides` / `resolutions` in the release until a proper upgrade path is available.

---

### Workaround (for consumers)

As a temporary workaround, users can force-resolve the dependency via `package.json`:

**npm (`overrides`):**
```json
{
  ""overrides"": {
    ""form-data"": "">=4.0.6""
  }
}
```

**yarn (`resolutions`):**
```json
{
  ""resolutions"": {
    ""form-data"": "">=4.0.6""
  }
}
```

---

### Environment

| Item            | Version  |
|-----------------|----------|
| `axios`         | `^1.18.1` |
| `form-data`     | `< 4.0.6` (current transitive) |
| Node.js         | `>= 24`  |

---

### References

- npm advisory: https://www.npmjs.com/advisories/1120743
- form-data changelog: https://github.com/form-data/form-data/releases

```","🔒 Security Vulnerability Report Summary has a transitive dependency on , which contains a high severity security vulnerability related to CRLF Injection via unescaped multipart field names and filenames. --- Vulnerability Details | Field | Detail | |---------------|------------------------------------------------------------------------| | Severity | High | | Package | | | Issue | CRLF injection via unescaped multipart field names and filenames | | Patched in | | | Dependency | | | Advisory | | --- Reproduction Running or in a project using produces the following: --- Expected Behavior should update its dependency on to so that consumers are not exposed to this vulnerability by default. --- Current Behavior currently depends on a version of below , which is flagged as vulnerable by / . --- Suggested Fix Please upgrade the dependency in to : Or, if a major version bump is a concern, consider pinning via / in the release until a proper upgrade path is available. --- Workaround (for consumers) As a temporary workaround, users can force-resolve the dependency via : npm ( ): yarn ( ): --- Environment | Item | Version | |-----------------|----------| | | | | | (current transitive) | | Node.js | | --- References - npm advisory: - form-data changelog: `"
issue_body,11042,magicdawn,User,2026-06-27T05:14:52Z,closed,feature-request: support `symbol` custom keys in `AxiosRequestConfig`,"use case: custom `AxiosRequestConfig` field

```ts
import axios from 'axios';

export const someFlag = Symbol('some flag used in request interceptor')

declare module 'axios' {
  export interface AxiosRequestConfig {
    [someFlag]?: boolean
  }
}

await axios.get('/api/dashboard', { [someFlag]: true });
```

but current `mergeConfig` is using [`Object.keys`](https://github.com/axios/axios/blob/v1.17.0/lib/core/mergeConfig.js#L114) which is `owned enumerable string keys`, symbol keys are not included in `Object.keys`, cause the configured value always `undefined` in interceptors




","use case: custom field but current is using [ ]( which is , symbol keys are not included in , cause the configured value always in interceptors"
issue_body,11030,jharzmann,User,2026-06-23T07:19:53Z,open,Old version of https-proxy-agent used,"### Summary
axios is currently using version 5.0.1 of https-proxy-agent which was released 4 years ago and agent-base version 6 which was released 6 years ago.
The most recent versions are 9.1.0 for https-proxy-agent (today 15 days old) and 9.0.0 for agent-base (3 months old).

### Background
With [this PR](https://github.com/axios/axios/pull/10858), the usage of [https-proxy-agent](https://www.npmjs.com/package/https-proxy-agent) was introduced. The version that was added is ^5.0.1.
While this is not an issue in itself, some code scanners will flag this as outdated considering that this version is 4 years old. The package is actively worked on and is currently available in version 9.1.0.
Additionally, using https-proxy-agent in version 5 introduces the usage of [agent-base](https://www.npmjs.com/package/agent-base) in version 6 which is 6 years old (the most current version is 9.0.0 which was released 3 months ago).

I'm opening this issue as non-maintainers are [not allowed to open PRs to update dependencies](https://github.com/axios/axios/blob/v1.x/CONTRIBUTING.md#dependency-and-github-actions-updates).","Summary axios is currently using version 5.0.1 of which was released 4 years ago and agent-base version 6 which was released 6 years ago. The most recent versions are 9.1.0 for (today 15 days old) and 9.0.0 for agent-base (3 months old). Background With [this PR]( the usage of [ was introduced. The version that was added is ^5.0.1. While this is not an issue in itself, some code scanners will flag this as outdated considering that this version is 4 years old. The package is actively worked on and is currently available in version 9.1.0. Additionally, using in version 5 introduces the usage of [agent-base]( in version 6 which is 6 years old (the most current version is 9.0.0 which was released 3 months ago). I'm opening this issue as non-maintainers are [not allowed to open PRs to update dependencies]("
issue_body,11009,adisetia0902-eng,User,2026-06-15T10:23:42Z,closed,Metasploit fremwok dan linuk,Yayyy grilled salted egg dumplings,Yayyy grilled salted egg dumplings
